Title,URL,First published,State,Total
"""From my Cold Dead Hands"": the role of the NRA in the lack of gun reform in the United States from 1996-2014",http://scholar.colorado.edu/honr_theses/223,2014-06-06,published,96
"""Fucking With the Binary"": LGBTQ Sex Workers' Gender and Sexual Identities",http://scholar.colorado.edu/honr_theses/218,2014-06-06,published,379
"""Have you Heard?"" An Examination of the Characteristics and Rhetorical Functions of Gossip on Facebook",http://scholar.colorado.edu/honr_theses/599,2014-07-24,published,53
"""I Don't Want my Pain to be for Nothing"": Sex Trafficking survivors on their Recovery and Reintegration Process",http://scholar.colorado.edu/honr_theses/1274,2017-05-03,published,233
"""I Have Always Said We Were Reborn in Switzerland"": Swiss Refugee and Immigration Policy Explained in a Translation of Sie waren einst Flüchtlinge",http://scholar.colorado.edu/gsll_gradetds/16,2017-01-24,published,9
"""I Ship It:"" Slash Writing as a Critical Tool in Media Fandom",http://scholar.colorado.edu/honr_theses/904,2015-04-30,published,275
"""I'm Not Much One to be Invisible"": End-of-Life Spiritual Care for LGBTQ Elders",http://scholar.colorado.edu/honr_theses/1574,2018-07-05,published,54
"""Important Things to Give Each Other"": the Politics of Thornton Wilder's Drama",http://scholar.colorado.edu/thtr_gradetds/59,2018-12-06,published,2
"""Important Things to Give Each Other"": the Politics of Thornton Wilder's Drama",http://scholar.colorado.edu/thtr_gradetds/42,2017-10-31,published,18
"""Inverted"" Zircon and Apatite (U-Th)/He Dates and Interpretation of High-Damage Zircon from the Southern Rocky Mountains, Front Range, Colorado",http://scholar.colorado.edu/geol_gradetds/114,2017-07-29,published,14
"""Masculinity and Maturity Taught by Mothers:"" Familial Politics and Gender Identity Crisis in Western Literature and Film",http://scholar.colorado.edu/honr_theses/644,2014-07-24,published,62
"""Mit (un)lobelichen êren"": Authority, Gender, and the Cause of Siegfried's Death in the Nibelungenlied",http://scholar.colorado.edu/gsll_gradetds/20,2017-02-21,withdrawn,2
"""My Thoughts Must Find Vent"": Disjuncture and Resolution in Slaveholding Women's Civil War Diaries",http://scholar.colorado.edu/hist_gradetds/45,2018-12-06,published,2
"""Out of and out of, out of an, out of"": Language Space and Stein's ""Objects"" and ""Rooms.""",http://scholar.colorado.edu/honr_theses/531,2014-06-23,published,14
"""Politics, Ballyhoo, and Controversy"": The Allied Clandestine Services, Resistance, and the Rivalries in Occupied France",http://scholar.colorado.edu/honr_theses/144,2014-06-06,published,24
"""Pure as the Driven Snow"": Oligopolies of Coercion and the Colombian Cocaine Industry",http://scholar.colorado.edu/honr_theses/955,2015-04-30,published,76
"""Religion is Free $cientology is Neither:"" Legal and Media Authorities in the Negotiation of Religious Pluralism",http://scholar.colorado.edu/rlst_gradetds/10,2016-08-23,published,33
"""Smoke on the Water"": Reactions to Media Coverage and Government Actions around the 2010 BP Oil Spill",http://scholar.colorado.edu/honr_theses/374,2014-06-23,published,55
"""Synthesis and Development of a New Lyotropic Liquid Crystal Polyelectrolyte Material for Ion- Conductive Applications""",http://scholar.colorado.edu/chem_gradetds/58,2016-09-19,published,12
"""That Little Bastard"": John Steinbeck, Woody Guthrie, and a Modern American Cultural Revolution",http://scholar.colorado.edu/honr_theses/180,2014-06-06,published,32
"""The Ambassador's Herb"": Tobacco Pipes as Evidence for Plains-Pueblo Interaction, Interethnic Negotiation, and Ceremonial Exchange in the Northern Rio Grande",http://scholar.colorado.edu/anth_gradetds/63,2017-10-31,published,20
"""The Ambassador's Herb"": Tobacco Pipes as Evidence for Plains-Pueblo Interaction, Interethnic Negotiation, and Ceremonial Exchange in the Northern Rio Grande",http://scholar.colorado.edu/anth_gradetds/80,2018-12-06,published,1
"""The Devil Hates That Doctrine"": Hell in American Fundamentalism and Evangelicalism, 1900-2015",http://scholar.colorado.edu/rlst_gradetds/41,2017-07-07,published,24
"""The Toughest One We Can Find""; Thug Personae and Meaning Across the Boundary of Ethnicity",http://scholar.colorado.edu/ling_gradetds/74,2019-01-30,published,6
"""True Americanism"": The Rise of America's Nazis in the Great Depression",http://scholar.colorado.edu/honr_theses/185,2014-06-06,published,64
"""We Want No Hatchet-Wielding Amazons:"" The Feminism, Racism, and Nativism of the Women of the Ku Klux Klan",http://scholar.colorado.edu/honr_theses/1644,2018-08-10,published,26
"""We are victims, we are already cadavers, all done."" The Embedded & Embodied Livelihoods of Sugarcane Laborers in Chichigalpa, Nicaragua in the Context of Chronic Kidney Disease of Unknown Cause",http://scholar.colorado.edu/socy_gradetds/49,2017-04-08,published,12
"""Who Should I be Afraid Of?"" A Content Analysis of Rape Reporting in the New York Times between 1955 and 2005",http://scholar.colorado.edu/honr_theses/584,2014-07-24,published,87
"""Willing to Pay?"" Tax Compliance in Britain and Italy: An Experimental Analysis.",http://scholar.colorado.edu/psci_facpapers/13,2018-02-13,published,3
"""With the Word 'Gods' He Created Scripture"" The Language Philosophy of Śaṅkarācārya as presented in Brahmasūtrabhāṣya 1.3.28",http://scholar.colorado.edu/rlst_gradetds/32,2017-04-05,published,21
"""Yours for Colorado"": Applicants to the 1870 Union Colony at Greeley",http://scholar.colorado.edu/honr_theses/1042,2016-05-09,published,23
"""in this economical town"": The Narration of Love and Economics in Villette",http://scholar.colorado.edu/honr_theses/575,2014-07-24,published,37
#CinemaSoB.L.A.CK.: A Cinematic History of Black Representation,http://scholar.colorado.edu/honr_theses/1035,2016-05-09,published,28
#PrimatesAreNOTPets: The Role of Social Media in the Primate Pet Trade and Primate Conservation,http://scholar.colorado.edu/honr_theses/1658,2018-08-13,published,83
'Helping Women Help Themselves': An Ethnography of Carceral Empowerment and the Neoliberal Rehabilitative Ideal at a Recovery Center for Criminalized Women,http://scholar.colorado.edu/socy_gradetds/45,2017-04-04,published,18
'Nosferatu' Revisted,http://scholar.colorado.edu/partake/vol1/iss1/6,2016-10-18,published,124
"'Pious Inventories': Competency, Vocation, and the Construction of the Virtuous Self in Seventeenth-Century New England",http://scholar.colorado.edu/rlst_gradetds/16,2016-10-14,published,16
'To Be' in Russian,http://scholar.colorado.edu/cril/vol2/iss1/3,2018-09-28,published,2
(+)-Morphine Activates Toll-like Receptor 4 (TLR4) in Endothelial Cells,http://scholar.colorado.edu/honr_theses/11,2014-06-04,published,62
(De)constructing Concrete:  Meaning and Materiality  in Postcolonial India,http://scholar.colorado.edu/geog_gradetds/150,2019-01-30,published,4
"(Meta)Modeling ""Constitutive Communication"": Toward a Real-Time Reflexive Infrastructure for Coordination and Codesign",http://scholar.colorado.edu/comm_gradetds/11,2016-07-20,published,8
"(No. 2 Supplemental Material) 1939 Scoggin Field Notebook, Mantle's Cave Expedition",http://scholar.colorado.edu/santhro/25,2016-05-19,published,12
"(No. 2, Supplemental Material) 1947 Burgh Field Notebook, Mantle's Cave Excavation",http://scholar.colorado.edu/santhro/2,2015-07-08,published,17
"(Re)Making the Valley? A Century of Community, Agriculture And Irrigation In New  Mexico’s Mesilla Valley",http://scholar.colorado.edu/hist_gradetds/20,2017-01-13,published,18
1. Study on the Effector Domain of MARCKS Protein as a Cell Penetrating Peptide; 2. Development of the Photoactivatable Prodrugs of Doxazolidine,http://scholar.colorado.edu/chem_gradetds/230,2018-04-17,published,7
100 Notes On Violence,http://scholar.colorado.edu/books/237,2017-08-30,published,17
100 Notes On Violence,http://scholar.colorado.edu/books/83,2017-08-30,published,3
"12 Angry Men: An Analysis of How Law, Science, and Individual Persistence Saved DNA Profiling",http://scholar.colorado.edu/honr_theses/455,2014-06-23,published,138
200 Pieces : an excerpt,http://scholar.colorado.edu/engl_gradetds/14,2016-07-15,published,6
2010 Solar and Space Physics Decadal Survey White Paper:  Next Steps in Solar Spectral Irradiance Studies,http://scholar.colorado.edu/astr_facpapers/9,2014-10-20,published,3
3' Terminal Diversity of MRP RNA and Other Human Noncoding RNAs Revealed by Deep Sequencing,http://scholar.colorado.edu/chem_facpapers/30,2015-05-21,published,3
"3D Architecture of the Trypanosoma brucei Flagella Connector, a Mobile Transmembrane Junction.",http://scholar.colorado.edu/mcdb_facpapers/8,2018-02-13,published,0
"3D Seismic Interpretation of a Meteorite Impact, Red Wing Creek Field, Williston Basin, Western North Dakota",http://scholar.colorado.edu/geol_gradetds/8,2016-02-17,published,200
4-Edge-Coloring Graphs of Maximum Degree 3 in Linear Time ; CU-CS-910-00,http://scholar.colorado.edu/csci_techreports/855,2014-08-27,published,0
490 Transmutations (23rd Altar),http://scholar.colorado.edu/art_mfa/21,2018-07-20,published,3
98% Cafe EV Power Conversion System Design,http://scholar.colorado.edu/ecen_gradetds/142,2017-10-09,published,90
:the Retreat of an Animal,http://scholar.colorado.edu/honr_theses/746,2014-12-02,published,68
"A ""Professional Back Place"": An Ethnography of Restaurant Workers",http://scholar.colorado.edu/socy_gradetds/2,2015-05-21,published,257
"A ""Ten-Meter War"": Common Themes in Letters Home From the World War II Tenth Mountain Division January-May 1945",http://scholar.colorado.edu/honr_theses/553,2014-06-23,published,34
A 'High Iron Railing': Plans to Implement Partition in the Palestine Mandate and British India,http://scholar.colorado.edu/hist_facpapers/1,2018-03-05,published,2
A 15-year record of CO emissions constrained by MOPITT CO observations,http://scholar.colorado.edu/mcen_facpapers/40,2018-06-18,published,2
A 449 MHz Modular Wind Profiler Radar System,http://scholar.colorado.edu/ecen_gradetds/33,2016-08-18,published,24
A 4D Model of the Io Plasma Torus,http://scholar.colorado.edu/honr_theses/1615,2018-08-09,published,40
A Bayesian Treatment of Social Links in Recommender Systems ; CU-CS-1092-12,http://scholar.colorado.edu/csci_techreports/1021,2014-08-27,published,10
A Benchmark Suite for Distributed Publish-Subscribe Systems ; CU-CS-927-02,http://scholar.colorado.edu/csci_techreports/872,2014-08-27,published,2
A Biomimetic and Biodegradable Hydrogel and the Impact of Macrophages for Bone Tissue Engineering,http://scholar.colorado.edu/chen_gradetds/15,2018-05-21,published,11
A Biomimetic and Biodegradable Hydrogel and the Impact of Macrophages for Bone Tissue Engineering,http://scholar.colorado.edu/chen_gradetds/12,,withdrawn,0
A Bivariational Analysis of the Orthogonal Microstrip-Slotline Crossover,http://scholar.colorado.edu/elmimi/122,2015-09-13,published,2
A Brief History of Research on Mitotic Mechanisms.,http://scholar.colorado.edu/mcdb_facpapers/7,2018-02-13,published,0
A Brief History of Space: Congregation Har HaShem and the Construction of Community in Frontier Synagogues,http://scholar.colorado.edu/honr_theses/1446,2017-05-04,published,28
A Brief Tour of Physics: From Stars to Spin,http://scholar.colorado.edu/sciboot/1,2014-09-11,published,9
A Browsing System Based on Multimedia Cohesion ; CU-CS-803-96,http://scholar.colorado.edu/csci_techreports/755,2014-08-27,published,5
A Bulged Stem Tethers Est1p to Telomerase RNA in Budding Yeast,http://scholar.colorado.edu/chem_facpapers/4,2015-05-21,published,2
A Buoyancy-Decoupling Approach to Cookstove Modeling and Quantification Methods for Metal Oxide Type Pollutant Sensors,http://scholar.colorado.edu/mcen_gradetds/76,2017-01-24,published,4
A Case Against a Divide and Conquer Approach to the Nonsymmetric Eigenvalue Problem ; CU-CS-554-91,http://scholar.colorado.edu/csci_techreports/534,2014-08-27,published,2
A Case Study Of Narrative Production In Primary Progressive Aphasia; Development And Application Of The Linguistic Communication Measure – Speech Sounds,http://scholar.colorado.edu/slhs_gradetds/14,2016-09-23,published,54
A Case Study in Astrophysical Data Visualization ; CU-CS-622-92,http://scholar.colorado.edu/csci_techreports/597,2014-08-27,published,2
A Case for Caching File Objects Inside Internetworks ; CU-CS-642-93,http://scholar.colorado.edu/csci_techreports/616,2014-08-27,published,0
A Case for Test-Code Generation in Model-Driven Systems ; CU-CS-949-03,http://scholar.colorado.edu/csci_techreports/891,2014-08-27,published,1
"A Century of Life, Labor, and Migration on the Last Frontier",http://scholar.colorado.edu/econ_gradetds/36,2016-12-09,published,14
A Character Study: Partisan Politics in the Age of Twitter,http://scholar.colorado.edu/honr_theses/932,2015-04-30,published,199
A Characterization Framework for Software Deployment Technologies ; CU-CS-857-98,http://scholar.colorado.edu/csci_techreports/806,2014-08-27,published,85
A Characterization Framework for Visual Languages ; CU-CS-586-92,http://scholar.colorado.edu/csci_techreports/562,2014-08-27,published,0
A Characterization Theorem for a Subclass of ETOL Languages ; CU-CS-028-73,http://scholar.colorado.edu/csci_techreports/27,2014-08-27,published,2
A Characterization of Affine Minimal and Affine Flat Surfaces,http://scholar.colorado.edu/honr_theses/444,2014-06-23,published,38
A Chemo-Mechanical Approach to Model Cell Contraction and Spreading on Elastic Substrates,http://scholar.colorado.edu/cven_gradetds/232,2018-06-29,published,3
A Chloe,http://scholar.colorado.edu/engl_gradetds/16,2016-07-20,published,4
"A Cidade de Palagüin, a Pasárgada, ou o verso e o anverso do descontentamento com a realidade",http://scholar.colorado.edu/span_facpapers/10,2018-04-25,published,4
A Classical Technique to Prove the h-Cobordism Theorem,http://scholar.colorado.edu/math_gradetds/4,2016-07-08,published,21
"A Climatological Study of the Relationship between Alpine Treeline and Thermally-driven Upslope Winds on Niwot Ridge, Colorado",http://scholar.colorado.edu/geog_gradetds/18,2016-07-26,published,14
A Climatology of the Stratopause in the Polar Vortices and Anticyclones: Observations and Global Modeling,http://scholar.colorado.edu/atoc_gradetds/33,2017-01-04,published,5
A Combinatorial Analysis of k-Pseudo Trees ; CU-CS-509-91,http://scholar.colorado.edu/csci_techreports/489,2014-08-27,published,1
A Combinatorial Property of EOL Languages ; CU-CS-228-82,http://scholar.colorado.edu/csci_techreports/225,2014-08-27,published,0
A Combinatorial Property of EOL Languages ; CU-CS-273-84,http://scholar.colorado.edu/csci_techreports/268,2014-08-27,published,0
A Commentary on Eusebius of Caesarea Ecclesiastical History Book VIII,http://scholar.colorado.edu/clas_gradetds/2,2016-09-14,published,145
A Common-Path Heterodyne Interferometer for Surface Profiling in Microelectronic Fabrication,http://scholar.colorado.edu/phys_facpapers/84,2015-07-23,published,1
A Communication Approach to Confronting Poverty: Creating Interactional Capital and Building Cross-Class Community through Collective Communicative Practices in the Boulder County Circles Campaign,http://scholar.colorado.edu/comm_gradetds/32,2016-11-03,published,12
"A Communication History of the Communist Movement in the Dutch East Indies, 1920-1926",http://scholar.colorado.edu/comm_gradetds/67,2017-08-02,published,49
A Compact and Transportable Ultracold Matter System and Progress Towards a Continuously Operating Neutral Rydberg Atom Quantum Computer,http://scholar.colorado.edu/phys_gradetds/72,2016-11-03,published,9
A Companion to Latin American Literature and Culture,http://scholar.colorado.edu/books/247,2017-09-07,published,2
A Comparative Analysis of Intimate Partner Abuse Among Ever-Married Women in Egypt and India,http://scholar.colorado.edu/honr_theses/214,2014-06-06,published,5
A Comparative Analysis of Rooftop Garden Systems,http://scholar.colorado.edu/honr_theses/1520,2017-11-27,published,29
"A Comparative Analysis of Water Districts Strategies Against Drought in Western Municipal Water District of California, East Bay Municipal Utilities District of California and Denver Water",http://scholar.colorado.edu/honr_theses/1179,2016-05-13,published,74
A Comparative Study of Central Supply Services Administered Under Nursing and Non-nursing Management,http://scholar.colorado.edu/print_theses/124,2015-07-08,published,2
A Comparative Study of Counseling Programs in Men’s Residence Halls,http://scholar.colorado.edu/print_theses/170,2015-07-08,published,1
A Comparative Study of Two Methods of Teaching Instrumental Music Classes,http://scholar.colorado.edu/print_theses/79,2015-07-08,published,0
A Comparison Between Mass Balance of the Taku and Lemon Creek Glaciers Derived from Glaciological Methods and GRACE,http://scholar.colorado.edu/honr_theses/1232,2016-05-18,published,56
"A Comparison Between Monsters in Victorian Gothicism and Modern Dystopian Fiction: The Fear of Godlessness in Dracula, Frankenstein, and Strange Case of Dr. Jekyll and Mr. Hyde and the Fear of Loss of Humanity in 1984, The Host, and Divergent",http://scholar.colorado.edu/honr_theses/1104,2016-05-12,published,204
"A Comparison of Father-, Stepfather-, and Brother-Perpetrated Incest Abuse of Incarcerated Women and Girls",http://scholar.colorado.edu/honr_theses/8,2014-06-04,published,154
A Comparison of Internet Resource Discovery Approaches ; CU-CS-601-92,http://scholar.colorado.edu/csci_techreports/576,2014-08-27,published,1
A Comparison of Laboratory Feeding Rates with in situ Capture of Drift Algae by the Red Urchin Strongylocentrotus franciscanus,http://scholar.colorado.edu/honr_theses/309,2014-06-16,published,17
A Comparison of Lexical Expansion Methodologies to Improve Medical Question and Answering Systems,http://scholar.colorado.edu/csci_gradetds/44,2016-09-21,published,8
A Comparison of Lipid-Anchored and Un-Anchored DNA in the Bilayer Environment,http://scholar.colorado.edu/honr_theses/845,2015-04-29,published,70
A Comparison of Nurse-Patient Perceptions in a Psychiatric Therapeutic Community,http://scholar.colorado.edu/print_theses/112,2015-07-08,published,1
A Comparison of Object-Oriented Programming in Four Modern Languages ; CU-CS-641-93,http://scholar.colorado.edu/csci_techreports/615,2014-08-27,published,11
A Comparison of PASCAL and FORTRAN as Introductory Programming Languages ; CU-CS-101-77,http://scholar.colorado.edu/csci_techreports/99,2014-08-27,published,13
A Comparison of Planning Based Models for Component Reconfiguration ; CU-CS-995-05,http://scholar.colorado.edu/csci_techreports/929,2014-08-27,published,3
A Comparison of Spring Stiffness Profiles for Use in a Passive-Elastic Leg Exoskeleton,http://scholar.colorado.edu/mcen_gradetds/122,2017-06-07,published,12
A Comparison of Techniques Used for the Removal of Lens Flare Found in High Dynamic Range Luminance Measurements,http://scholar.colorado.edu/cven_gradetds/92,2017-11-10,published,29
A Comparison of Techniques Used for the Removal of Lens Flare Found in High Dynamic Range Luminance Measurements,http://scholar.colorado.edu/cven_gradetds/363,2018-11-01,published,3
A Comparison of Two Cultures in Practices of Infant Feeding,http://scholar.colorado.edu/print_theses/93,2015-07-08,published,5
A Comparison of Two Sport-Climbing Specific  Aerobic Power Protocols and Their  Relationship to Sport-Climbing Ability,http://scholar.colorado.edu/iphy_gradetds/62,2017-11-20,published,31
A Comparison of Two Sport-Climbing Specific  Aerobic Power Protocols and Their  Relationship to Sport-Climbing Ability,http://scholar.colorado.edu/iphy_gradetds/88,2018-12-06,published,0
A Comparison of the Benefits of Dependence Prediction and Value Prediction ; CU-CS-868-98,http://scholar.colorado.edu/csci_techreports/816,2014-08-27,published,0
A Comparison of the Diel Cycle of Modeled and Measured Latent Heat Flux During the Warm Season in a Colorado Subalpine Forest,http://scholar.colorado.edu/libr_oafund/80,2018-03-12,published,6
A Comparison of the Intel iPSC/860 and the Suprenum-1 Parallel Computers ; CU-CS-499-90,http://scholar.colorado.edu/csci_techreports/480,2014-08-27,published,2
A Complete Specification of a Simple Compiler ; CU-CS-638-93,http://scholar.colorado.edu/csci_techreports/613,2014-08-27,published,5
A Comprehensive Analysis and Elementary Model of Phototropism and Gravitropism,http://scholar.colorado.edu/cven_gradetds/204,2018-06-22,published,1
A Comprehensive Literature Analysis of Causes and Treatment Options for Hereditary Breast Cancer,http://scholar.colorado.edu/honr_theses/506,2014-06-23,published,30
A Computational Medium for Supporting Interpretation in Design ; CU-CS-598-92,http://scholar.colorado.edu/csci_techreports/573,2014-08-27,published,0
A Computational Study of the Fourth Painleve Equation and a Discussion of Adams Predictor-Corrector Methods,http://scholar.colorado.edu/appm_gradetds/38,2017-01-04,published,6
A Computational and Evolutionary Approach to Understanding Cryptic Unstable Transcripts in Yeast,http://scholar.colorado.edu/mcdb_gradetds/41,2017-05-12,published,3
A Concurrent Acknowledgement Scheme for Broadcast Messages in Wireless Networks ; CU-CS-1046-08,http://scholar.colorado.edu/csci_techreports/975,2014-08-27,published,5
A Confidence System for Solving Real-World Problems with Argumentation ; CU-CS-1060-10,http://scholar.colorado.edu/csci_techreports/989,2014-08-27,published,6
A Consistency Checking Optimization Algorithm for Memory-Intensive Transactions ; CU-CS-1049-08,http://scholar.colorado.edu/csci_techreports/978,2014-08-27,published,6
A Constrained Peptide That Targets the TLR4/MD2 Interaction & Investigating the Mechanism of Ultra-stability in Bacterial Chemosensory Arrays,http://scholar.colorado.edu/chem_gradetds/64,2016-10-18,published,3
A Constructional Approach to as far as NP is concerned,http://scholar.colorado.edu/cril/vol15/iss1/2,2018-09-22,published,2
A Content Analysis of Asian-Pacific Folk Songs in Elementary Music Textbooks from 1967 to 2008,http://scholar.colorado.edu/mued_gradetds/6,2017-08-08,published,43
A Cooperative Approach to Support Software Deployment Using the Software Dock ; CU-CS-871-98,http://scholar.colorado.edu/csci_techreports/819,2014-08-27,published,4
A Corpus Study on the Item-based Nature of Early Grammar Acquisition,http://scholar.colorado.edu/cril/vol17/iss1/2,2018-09-19,published,2
"A Cost-Effectiveness Analysis of Surgical Treatment Modalities for Chondral Lesions of the Knee: Microfracture, Osteochondral Autograft Transplantation, and Autologous Chondrocyte Implantation.",http://scholar.colorado.edu/iphy_facpapers/18,2018-06-25,published,1
A Counting Approach to Lower Bounds for Selection Problems ; CU-CS-107-77,http://scholar.colorado.edu/csci_techreports/105,2014-08-27,published,6
A Critic for Lisp ; CU-CS-365-87,http://scholar.colorado.edu/csci_techreports/350,2014-08-27,published,2
A Critical Analysis of the Structural Changes Related to Craft Demographics Influencing Craft Supply and Demand in the United States Across Multiple Dimensions,http://scholar.colorado.edu/cven_gradetds/179,2018-05-21,published,5
A Critical Assessment of Woodward’s Theory of Causation and Explanation,http://scholar.colorado.edu/phil_gradetds/47,2017-04-07,published,24
A Critical Race Feminist Theory Analysis of Police Responses to Intimate Partner Abuse,http://scholar.colorado.edu/honr_theses/1397,2017-05-03,published,53
A Critical Study to Determine What the Nursing Staff Does to Help the Relatives of Hospitalized Psychiatric Patients,http://scholar.colorado.edu/print_theses/119,2015-07-08,published,1
A Critique of Neoliberal Models of Food Productin: Food Sovereignty as an Alternative Towards True Food Security,http://scholar.colorado.edu/honr_theses/525,2014-06-23,published,69
A Cross Section of Oscillator Dynamics,http://scholar.colorado.edu/appm_gradetds/11,2016-04-27,published,19
"A Cross-Scale Assessment of Historical Fire Severity Patterns, Landscape Dynamics, and Methodological Challenges in Mixed-Severity Fire Regimes of the Northern U.s. Rockies",http://scholar.colorado.edu/geog_gradetds/120,2018-05-22,published,7
A Dangerous Conflation of Ideologies: the Nexus of Christianity and Neoliberalism,http://scholar.colorado.edu/honr_theses/126,2014-06-06,published,39
A Data Base System Designed for Flexibility and Usability from FORTRAN ; CU-CS-072-75,http://scholar.colorado.edu/csci_techreports/70,2014-08-27,published,7
A Decolonial Analysis of La Catedral de Santo Domingo Primada de América,http://scholar.colorado.edu/arth_gradetds/27,2017-04-16,published,62
A Deep and Longitudinal Approach to Mining Mobile Applications,http://scholar.colorado.edu/csci_gradetds/152,2018-03-07,published,24
A Defense Of Abortion,http://scholar.colorado.edu/books/173,2017-08-30,published,10
A Defense of Parent Licensing,http://scholar.colorado.edu/honr_theses/931,2015-04-30,published,218
A Defense of the Moral Error Theory,http://scholar.colorado.edu/phil_gradetds/61,2018-10-11,published,26
A Description Scheme to Aid the Design of Collections of Concurrent Processes ; CU-CS-118-77,http://scholar.colorado.edu/csci_techreports/116,2014-08-27,published,0
A Descriptive Study of the Symptoms of Selected Pediatric Patients Who Developed Certain Postoperative Complications Following Open Heart Surgery,http://scholar.colorado.edu/print_theses/90,2015-07-08,published,3
A Detector for Counting Single Photons at 795 nm,http://scholar.colorado.edu/honr_theses/654,2014-07-24,published,14
A Deterministic and Random Propagation Study with the Design of an Open Path 320GHz to 340GHz Transmissometer,http://scholar.colorado.edu/ecen_gradetds/178,2018-12-06,published,1
A Deterministic and Random Propagation Study with the Design of an Open Path 320ghz to 340ghz Transmissometer,http://scholar.colorado.edu/eeng_gradetds/20,2017-11-20,published,11
A Diagnostic Suite of Models for the Evaluation of Oceanic Mesoscale Eddy Parameterizations,http://scholar.colorado.edu/atoc_gradetds/29,2016-11-04,published,2
A Distributed Database System Using Optimistic Concurrency Control ; CU-CS-281-84,http://scholar.colorado.edu/csci_techreports/276,2014-08-27,published,1
A Distributed and Parallel Component Architecture for Stream-Oriented Applications ; CU-CS-989-04,http://scholar.colorado.edu/csci_techreports/925,2014-08-27,published,3
A Divide-and-Conquer Approach for Visual Odometry with Minimally-Overlapped Multi-Camera Setup,http://scholar.colorado.edu/csci_gradetds/88,2017-02-14,published,20
A Dual Approach to Evaluating the Physical and Perceptual Impact of Exterior Lighting Renovations on Denver's Historic 16th Street Mall,http://scholar.colorado.edu/cven_gradetds/196,2018-05-21,published,2
A Dual Model of Relational Concept Representation,http://scholar.colorado.edu/psyc_gradetds/123,2017-11-20,published,15
A Dual Model of Relational Concept Representation,http://scholar.colorado.edu/psyc_gradetds/143,2018-12-06,published,0
A Dual Task Paradigm: The cerebral laterality of pitch and rhythm and implications for aphasia therapy,http://scholar.colorado.edu/honr_theses/78,2014-06-06,published,10
A Dynamic Policy License for Wireless Spectrum Management,http://scholar.colorado.edu/tlen_gradetds/28,2018-04-27,published,14
A Dynamic and Multi-Dimensional Approach to  Consumer Well-Being,http://scholar.colorado.edu/mktg_gradetds/10,2017-10-31,published,31
A Dynamic and Multi-Dimensional Approach to Consumer Well-Being,http://scholar.colorado.edu/badm_gradetds/9,2018-11-01,published,0
A European Loanword of Early Date in Eastern North America,http://scholar.colorado.edu/cril/vol3/iss1/5,2018-09-28,published,1
A FORTRAN System for Flexible Creation and Accessing of Data Bases ; CU-CS-052-74,http://scholar.colorado.edu/csci_techreports/51,2014-08-27,published,2
A Facilitator Method for Upstream Design Activities with Diverse Stakeholders ; CU-CS-785-95,http://scholar.colorado.edu/csci_techreports/739,2014-08-27,published,1
A Family of Groups Generalizing the Poincaré Group and Associated Physical Systems,http://scholar.colorado.edu/math_gradetds/66,2018-12-09,published,2
A Family of Trust Region Based Algorithms for Unconstrained Minimization with Strong Global Convergence Properties ; CU-CS-216-82,http://scholar.colorado.edu/csci_techreports/213,2014-08-27,published,3
A Feasibility Study of Bandwidth Smoothing on the World-Wide Web Using Machine Learning ; CU-CS-879-99,http://scholar.colorado.edu/csci_techreports/826,2014-08-27,published,3
A Fermi-Degenerate Three-Dimensional Optical Lattice Clock,http://scholar.colorado.edu/phys_gradetds/214,2017-10-31,published,30
